brand,note,name,top,middle,bottom,concentration,first,second,third,fourth,fifth,sex,
Matureism,"warm spicy, woody",rub carmen,"Truffle, Black Currant, Gardenia, Bergamot, Mandarin Orange","Jasmine, Orchid, Spices, Gardenia, Lotus, ","White Musk, Sandalwood, Amber, Chocolate, Vanilla",edt,xxxx,xxxx,xxxx,xxxx,xxxx,f,
Ncp,citrus,101 clementine&violet flower,"Mandarin, Citruses",Violet Leaf,"Musk, Tonka Nut",edp,citrus,ozonic,aquatic,fresh,xxxx,uni,
Ncp,"citrus, spicy",102 ginger&lime,"Grapefruit, Ginger, Cognac","Blackberry, Coriander","Sandalwood, Musk, Spices",edp,warm spicy,citrus,fruity,woody,aromatic,uni,
Ncp,fruity floral,201 apple&driftwood,Apple,"Jasmine, White Flowers","Musk, Hub",edp,white floral,green,fruity,fresh,musky,"f, uni",
Ncp,floral,301 jasmie&sandalwood,Jasmine,White Flowers,Sandalwood,edp,white floral,xxxx,xxxx,xxxx,xxxx,"f, uni",
Ncp,fougere,401 lavender&juniper,"Juniper, Citruses","Iris, Sage, Sandalwood","Musk, Hay",edp,aromatic,woody,fresh spicy,powdery,herbal,"m, uni",
Ncp,chypre,501 iris&vanilla,"Iris, Violet",Floral Notes,"Vanilla, Caramel",edp,powdery,violet,floral,caramel,vanilla,"f, uni",
Ncp,woody,601 amber&gaiac wood,Cedar,"Gaiac Wood, Sandal Wood","Amber, Vanilla",edp,woody,powdery,amber,vanilla,xxxx,"m, uni",
Ncp,woody,602 sandal wood&cederwood,Sandalwood,"Cedar, Milk","Cedar, Sandalwood, Vanilla",edp,woody,powdery,vanilla,lactonic,xxxx,uni,
Ncp,oriental,701 leather&vetiver,"Leather, Cedar, Patchouli","Moss, Vanilla","Musk, Vetiver",edp,woody,mossy,earthy,leather,aromatic,"m, uni",
Ncp,oriental,702 musk&amber,"Aldehydes, Ozonic Notes, Bergamot","Jasmine, Lily Of The Valley","Musk, Vanilla",edp,white floral,vanilla,musky,powdery,fresh,"f, uni",
Ncp,oriental,703 tonkabean&moka,"Citruses, Lavender","Sandalwood, Leather, Coffee","Tonka Nut, Caramel, Musk",edp,warm spicy,woody,caramel,citrus,coffee,uni,
Ncp,oriental,704 incense&musk,"Leather, Spices","Musk, Incense",Oriental Notes,edp,warm spicy,amber,musky,smoky,leather,uni,
Ncp,oriental,705 leather&oud,"Saffron, Cinnamon Bark, Cedar","Oud Wood, Patchouli, Leather","Vanilla, Amber, Musk",edp,woody,warm spicy,cinnamon,oud,patchouli,"m, uni",
Ncp,oriental,706 saffron&oud,"Saffron, Rose, Cedar","Oud Wood, Patchouli, Sandal Wood","Vanilla, Amber, Musk",edp,rose,vanilla,oud,floral,warm spicy,uni,
Ncp,oriental,707 oud&patchouly,"Saffron, Cardamom, Agarwood(oud)","Patchouli, Sandalwood","Agarwood(oud), Amber, Musk",edp,warm spicy,oud,aromatic,woody,amber,uni,
Guerlain,"amber floral, florienatal",angelique noire,"Angelica, Pear, Pink Pepper","Jasmine, Caraway","Angelica, Vanilla, Cedar",edp,musky,vanilla,powdery,amber,sweet,"f, uni",
Guerlain,green musky citrus,aqua allegoria bergamote calabria,"Calabrian Bergamot, Petitgrain","Ginger, Cardamom","Woody Accord, White Musk",edt,citrus,warm spicy,aromatic,fresh spicy,woody,"f, uni",
Guerlain,fruity citrus,aqua allegoria coconut fizz,"Coconut Nectar, Bergamot","Water Fruit, Freesia","Sandalwood, Tonka Nut",edt,coconut,sweet,vanilla,floral,lactonic,"f, uni",
Guerlain,fruity floral citrus,aqua allegoria flora cherrysia,"Watermelon, Calabrian Bergamot","Cherry Blossom, Pear, Rose","White Musk, Violet, Woody Note",edt,floral,aquatic,ozonic,fruity,fresh,f,
Guerlain,"fresh floral, floral citrus",aqua allegoria floral salvaggia,"Watery Note, Violet, Yellow Melon, Wild Flower Accord","White Flower, Solar Note, Jasmine, Orange Blossom","Violet, Powdery Iris, White Musk",edt,fresh,aquatic,violet,powdery,floral,"f, uni",
Guerlain,lemony citrus,aqua allegoria ginger piccante,"Ginger, Bergamot, Lemon","Rose, Pepper","White Musk, Cedar",edt,citrus,warm spicy,rose,fresh spicy,fresh,"f, uni",
Guerlain,fruity citrus,aqua allegoria granada salvia,"Cypress, Black Currant, Bergamot, Lemon","Sage Accord, Pomegranate Accord, Rose","Moss, White Musk, Patchouli",edt,woody,aromatic,fruity,citrus,fresh spicy,"f, uni",
Guerlain,green aromatic citrus,aqua allegoria herba fresca,"Lemon, Clover","Mint, Green Tea","Lily Of The Valley, Cyclamen",edt,green,aromatic,citrus,fresh spicy,fresh,"f, uni",
Guerlain,aromatic citrus,aqua allegoria mandarine basilic,"Clementine, Bitter Orange, Orange Blossom, Green Tea, Ivy","Basil, Mandarin Orange, Chamomile, Peony","Sandalwood, Amber Note",edt,citrus,fresh spicy,green,aromatic,fresh,"f, uni",
Guerlain,"fresh floral, floral citrus",aqua allegoria nettare di sole,"Orange Blossom, Watery Note, Calabrian Bergamot","Solar Note, Magnolia, Jasmine Sambac, Rose",Honey Note,edt,white floral,citrus,floral,honey,sweet,"f, uni",
Guerlain,citrus,aqua allegoria orange soleia,"Blood Orange, Bergamot, Pink Pepper, Corn","Petitgrain, Mint","Musk, Tonka Nut, Woody Note",edt,citrus,fresh spicy,aromatic,green,xxxx,"f, uni",
Guerlain,fruity citrus,aqua allegoria pamplelune,"Grapefruit, Bergamot","Cassia, Petitgrain, Neroli","Patchouli, Vanilla",edt,citrus,aromatic,fresh spicy,green,woody,"f, uni",
Guerlain,fresh fruity citrus,aqua allegoria passiflora,"Grapefruit, Lemon, Bergamot, Mandarin Orange, Aldehyde","Passionfruit, Water Note, Orange Blossom, Green Note, Ylang Ylang",White Musk,edt,citrus,fresh,sweet,tropical,fruity,f,
Guerlain,fruity juicy citrus,aqua allegoria pera granita,"Grapefruit, Bergamot, Lemon","Orange Blossom, Osmanthus, Tangerine, Jasmine, Pear, Hedione","Moss, White Musk, Cedarwood",edt,citrus,fruity,sweet,fresh spicy,aromatic,f,
Guerlain,tangy fruity floral citrus,aqua allegoria rosa rossa,"Litchi, Black Currant, Bergamot, Lemon","Rose, Peony","White Musk, Iso E Super, Woody Note, Cedarwood",edt,rose,floral,fruity,fresh,citrus,f,
Guerlain,amber woody,bois d'armenie,"Incense, Iris, Pink Pepper","Benzoin, Guaiac Wood, Coriander","Copahu Balm, Patchouli, White Musk",edp,amber,woody,balsamic,warm spicy,smoky,uni,
Guerlain,floral woody musk,musc outreblanc,"White Musk, Neroli, Ambrette(musk mallow)","Orange Blossom, Iris, Rose","Milk, Sandalwood, White Amber",edp,musky,powdery,white floral,citrus,woody,"f, uni",
Guerlain,amber spicy,oeillet pourpre,"Pear, Clove","Benzoin, Carnation","Leather, Vanilla, Smoke, Musk, Woody Note",edp,green,amber,floral,balsamic,rose,"f, uni",
Guerlain,floral,Champs-?lys?es Eau de Parfum Guerlain(2021),"Rose Petal, Mimosa Leaves","Mimosa, Buddleia, Cassis","Almond Tree, Vanilla, Woody Note, Hibiscus Seed",edp,warm spicy,vanilla,leather,smoky,amber,uni,
Guerlain,floral,Cruel Gardenia,"Rose, Neroli, Peach","Gardenia, Violet, Ylang Ylang","Musk, Tonka Nut, Sandalwood, Vanilla",edp,white floral,powdery,sweet,woody,violet,f,
Guerlain,leather,cuir beluga,"Tangerine, Aldehydes","Immortelle, Patchouli","Vanilla, Suede, Heliotrope, Amber",edp,vanilla,powdery,leather,amber,sweet,"f, uni",
Guerlain,floral woody musk,eau de cashmere,"Bergamot, Mandarin Orange, Pink Pepper","Iris, Lavender, Cedar","Heliotrope, White Musk, Vetiver",edt,powdery,woody,iris,musky,citrus,f,
Guerlain,floral woody,eau de lingerie,Xxxx,"White Musk, Iris, Vanilla, Rose, Sandal Wood, Ambrette(musk Mallow)",Xxxx,edt,powdery,musky,iris,vanilla,woody,f,
Guerlain,amber,eau de lit,Xxxx,"White Musk, Sage, Vanilla, Neroli, Bergamot, Star Anise, Coriander",Xxxx,edt,aromatic,musky,soft spicy,citrus,powdery,f,
Guerlain,xxxx??,eau secrete,Xxxx,Xxxx,Xxxx,edt,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,
Guerlain,floral,Embruns d'Ylang,"Salt, Bergamot","Ylang Ylang, Jasmine Sambac, Cloves","Vanilla, Patchouli, Iris",edp,yellow floral,woody,warm spicy,sweet,salty,f,
Guerlain,chypre,epices volees (Guerlain Arsene Lupin Voyou),"Coriander, Artemisia, Lemon, Bergamot","Sage, Bulgarian Rose, Cardamom, Clove","Sandalwood, Benzoin, Patchouli, Labdanum",edp,aromatic,warm spicy,woody,herbal,amber,"m, uni",
Guerlain,citrus aromatic,frenchy lavande (le frenchy),"Bergamot, Lemon Verbena, Lemon","Citron, Petitgrain, Neroli, Lavender, Sage","Vetiver, Ambergris, Tonka Nut",edp,citrus,aromatic,fresh spicy,herbal,green,"m, uni",
Guerlain,citrus aromatic,herbes troublantes (Un Dimanche ? la Campagne),Xxxx,"Bergamot, Herbal Note, Orange Blossom, White Musk",Xxxx,edp,green,citrus,musky,white floral,powdery,uni,
Guerlain,chypre floral,Idylle Eau de Parfum Guerlain(2021),"Lily Of The Valley, Freesia, White Lily, Peony","Jasmine, Bulgarian Rose","White Musk, Patchouli",edp,white floral,floral,fresh,rose,xxxx,f,
Guerlain,amber vanilla,iris torrefie,"Coffee, Cardamom, Bergamot","Iris, Ambrette(musk Mallow)","Leather, Vanilla, Tea, Amber",edp,iris,powdery,warm spicy,violet,coffee,"f, uni",
Guerlain,floral,Joyeuse Tub?reuse,Green Note,"Tuberose, Lily, Jasmine Sambac","Vanilla, Sandal Wood, Vetiver",edp,white floral,tuberose,vanilla,woody,powdery,"f, uni",
Guerlain,fruity floral,la petite robe noire edp,"Sour Cherry, Almond, Red Berries, Bergamot","Licorice, Rose, Tea, Taif Rose","Vanilla, Tonka Nut, Anise, Patchouli, Iris",edp,sweet,cherry,fruity,almond,nutty,f,
Guerlain,fruity floral,la petite robe noire edt,"Rose, Jasmine, Green Tea","Sour Cherry, Apple, Orange Blossom, Black Currant","White Musk, Patchouli, White Amber",edt,cherry,sweet,fruity,nutty,white floral,f,
Guerlain,amber woody,l'homme ideal edp,"Almond, Spices, Lavender, Bergamot, Thyme, Rosemary","Cherry, Vanilla, Incense, Bulgarian Rose","Leather, Tonka Nut, Sandalwood",edp,sweet,cherry,almond,vanilla,nutty,"m, uni",
Guerlain,woody aromatic,l'homme ideal edt,"Citruses, Orange Blossom, Rosemary, Bitter Orange","Almond, Tonka Nut","Leather, Vetiver, Cedar",edt,almond,citrus,aromatic,sweet,woody,m,
Guerlain,"amber floral, florienatal",l'instant de guerlain edp(2021),"Mandarin Orange, Orange Honey, Bergamot","Magnolia, Ylang Ylang, Jasmine","Amber, Sandal Wood",edp,citrus,floral,sweet,honey,white floral,f,
Guerlain,fresh oriental,mon guerlain edp,"Lavender, Bergamot","Iris, Jasmine Sambac, Rose","Tahitian Vanilla, Coumarin, Austrailian Sandal Wood, Benzoin, Licorice, Patchouli",edp,vanilla,woody,lavender,aromatic,powdery,f,
Guerlain,floriental,mon guerlain edp bloom of rose,"Bulgarian Rose, Pear, Bergamot","Turkish Rose, Lavender, Jasmine Sambac","Vanilla, Sandal Wood, Patchouli",edp,rose,woody,vanilla,citrus,floral,f,
Guerlain,floral,mon guerlain edt bloom of rose,"Citruses, Lavender","Neroli, Bulgarian Rose, Jasmine Sambac","Tahitian Vanilla, Sandal Wood",edt,citrus,white floral,rose,fresh,lavender,f,
Guerlain,"amber floral, florienatal",mon guerlain spakling bouquet,"Pear, Bergamot, Mandarin Orange","Lavender, Peony, Jasmine Sambac","White Musk, Tahitian Vanilla, Sandal Wood",edp,citrus,floral,fresh,powdery,musky,f,
Guerlain,citrus aromatic,Neroli Outrenoir,"Petitgrain, Bergamot, Tangerine, Lemon, Grapefruit","Tea, Neroli, Orange Blossom, Smoke, Earthy Note","Vanilla, Myrrh, Benzoin, Ambrette (Musk Mallow), Oakmoss",edp,citrus,white floral,green,aromatic,fresh spicy,"f, uni",
Guerlain,chypre floral,Rose Barbare,"Rose, Aldehydes","Rose, Fenugreek","Honey, Patchouli, Woody Note",edp,rose,honey,aldehydic,floral,fresh spicy,f,
Guerlain,floral,Rose Ch?rie,Xxxx,"Bulgarian Rose, Rose, Violet, Heliotrope, Musk, Tonka Nut",Xxxx,edp,powdery,rose,vanilla,floral,violet,f,
Guerlain,floral woody musk,samsara edp(2021),Citruses,"Ylang Ylang, Jasmine","Sandal Wood, Vanilla, Iris, Amber, Tonka Nut",edp,woody,yellow floral,powdery,sweet,vanilla,f,
